VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour Mars 2017,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Numéro de,Montant de ,Description
,1186068,CYCLONE SANTE INC.,03-01-17,,"7 349,12",Expertise médicale
,1189426,ENTRAC INC.,03-20-17,,"12 053,35",Formation en développement organisationnel et technique
,1191767,ENTREPRISE ELECTRIQUE L. DALLAIRE INC.,03-30-17,,"323,36",Entrepreneur en électricité
,1185109,METAUX T.R.D.M. INC.,03-01-17,,"2 385,32",Entrepreneur en ouvrages métalliques
"HOOPER, CHANTAL",1191604,ABC ENVIRONNEMENT INC.,03-29-17,,"648,30",Service - Traitement/valorisation de matières organiques
,1186700,ACKLANDS - GRAINGER INC.,03-03-17,,"630,63",Accessoire et pièce de remplacement pour outil
,1187821,,03-09-17,,"32,42",Accessoire et pièce de remplacement pour outil
,1190878,,03-27-17,,"730,96",Accessoire et pièce de remplacement pour outil
,1190722,ACTI-SOL INC,03-24-17,,"414,07","Terre, terreau, compost et engrais"
,1190392,ALBERT VIAU DIVISION,03-23-17,,"92,10",Produit de branchement
,1180926,ASPHALTE SAINT-PATRICK INC,03-03-17,Hors entente,"11 264,69","Asphalte, bitume"
,1190711,CENTRE DE SERVICES PARTAGES DU QC,03-24-17,,"102,05",Mise à jour de Normes-Ouvrages routiers
,1179137,CENTRE DE TELEPHONE MOBILE LTEE,03-07-17,,"314,96",Réparation/Entretien - Appareil de communication
,1186816,CLEMENT HYDRAULITECH INC.,03-06-17,,"314,96",Inspection pour équipement de levage
,1188705,CONSTRUCTION DJL INC,03-15-17,Hors entente,"2 099,75","Asphalte, bitume"
,1177986,DEMIX BETON,03-09-17,C1109384,"1 154,87",Béton préparé
,1189858,DISTRIBUTION SPORTS LOISIRS G.P. INC.,03-21-17,,"3 321,80",Équipement et fourniture pour terrain de jeux
,1190887,,03-27-17,,"936,70",Équipement et fourniture pour terrain de jeux
,1190693,ELECTRONIQUE ADDISON,03-24-17,,"62,89",Composante électronique
,1149076,EMBOUTEILLAGE CETO INC.,03-20-17,C1055943,"287,40",Eau potable - Mesure d'urgence
,1178034,,03-20-17,C1055943,"572,80",Eau potable - Mesure d'urgence
"HOOPER, CHANTAL",1181636,ENTREPRISES FORLINI,03-10-17,,"797,90",Équipement contre les chutes
,1187666,,03-09-17,,"430,44",Équipement de protection
,1188973,,03-16-17,,"138,58",Bottes
,1190807,,03-24-17,,"94,49",Bottes
,1189853,EQUIPEMENTS E.S.F. INC.,03-21-17,,"88,19",Accessoire et pièce de remplacement pour outil
,1190506,EXCEL HONDA MOTO,03-23-17,,"5 381,66",Pompe et compresseur
,1186701,FASTENAL CANADA LTEE,03-03-17,,"111,94",Produit d'entretien ménager
,,,03-03-17,,"139,86",Accessoire et pièce de remplacement pour outil
,1187660,,03-09-17,,"662,29",Réparation - Élingue
,1189889,,03-21-17,,"1 328,21","Corde, chaîne et câble"
,1188725,GAZTEK INC,03-15-17,,"2 099,75",Gaz d'étalonnage
,1190247,,03-22-17,,"146,98",Réparation - Capteur à gaz
,1183689,GROUPE SDM INC,03-21-17,,"1 167,46",Service - Déglaçage et désobstruction de conduites
,1187386,HILTI CANADA LTEE,03-08-17,,"1 804,92",Outil à batterie
,1189636,,03-20-17,,"581,54",Outil à batterie
,1187144,JARDINS ZEILLINGER,03-07-17,,"6 502,53",Végétaux
,1186695,JEAN GUGLIA & FILS ENR.,03-03-17,,"720,70",Équipement d'aménagement paysager
,1188758,,03-15-17,,"424,76",Chaîne
,1180775,LAVE AUTO 88 INC.,03-06-17,,"629,92",Service - Lavage de véhicules
,1179133,LE GROUPE J.S.V. INC,03-17-17,,"49,03",Outil manuel
,1187404,,03-08-17,,"241,47","Pile, batterie"
,1189869,,03-21-17,,"203,89",Chaîne
,1187649,LES EQUIPEMENTS RAPCO INC,03-09-17,,"141,74",Accessoire et pièce de remplacement pour outil
,1190717,,03-24-17,,"94,00",Accessoire et pièce de remplacement pour outil
,1187435,LINDE CANADA LIMITEE,03-08-17,,"72,82",Gant
,1189887,,03-21-17,,"139,47",Gant
,1190018,MARTECH SIGNALISATION INC.,03-21-17,,"157,48","Matériel de fixation, clou, vis"
,,,03-21-17,,"155,91","Guide, brochure et affiche"
,1187847,MATERIAUX DE PLOMBERIE RAY-JEAN INC.,03-09-17,,"2 139,90",Accessoire et fourniture de plomberie
,1187456,MINISTRE DES FINANCES,03-08-17,,"448,00",Formation en développement organisationnel et technique
,1189622,,03-20-17,,"672,00",Formation en développement organisationnel et technique
,1191172,MP REPRODUCTIONS INC.,03-28-17,,"98,35",Service - Numérisation de documents
,1187730,NADEAU FORESTERIE URBAINE INC.,03-09-17,,"162,21","Service - Abattage, émondage, élagage"
,1187142,NORSECO INC,03-07-17,,"839,89","Graine, semence, bulbe et bouture"
,1190040,PRODUITS SANY,03-21-17,1048199,"443,62",Produit et équipement d'entretien
,1187693,QUINCAILLERIE NOTRE-DAME DE ST-HENRI INC.,03-09-17,,"1 475,82","Matériel de fixation, clou, vis"
,1188766,,03-16-17,,"398,70",Outil manuel
,1189079,,03-16-17,,"1 209,37",Outil manuel
"HOOPER, CHANTAL",1188606,RENO-DEPOT,03-15-17,,"3 149,62",Accessoire et pièce de remplacement pour outil
,1187748,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.",03-09-17,,"135,91",Huissier de justice
,1184380,SCIAGE DE BETON 2000 INC.,03-09-17,,"2 501,33",Location - Outil manuel
,1186153,SECURITE LANDRY INC,03-01-17,,"146,65",Outil manuel
,,,03-01-17,,"538,58",Accessoire et pièce de remplacement pour outil
,,,03-01-17,,"400,00",Accessoire vestimentaire
,1190735,,03-24-17,,"56,69","Crochet, goupille, manille et poulie"
,,,03-24-17,,"381,89",Botte
,1186803,SERRURIER LACROIX LTEE,03-06-17,,"96,49",Produit de cadenassage
,1188103,STELEM,03-10-17,,"818,90",Réservoir et contenant de stockage
,1188351,TENAQUIP LIMITED,03-13-17,,"685,04",Réservoir et contenant de stockage
,1189225,TESSIER RECREO-PARC INC,03-17-17,,"1 763,79",Équipement et fourniture pour terrain de jeux
,1187794,U. CAYOUETTE INC.,03-09-17,,"1 705,84","Ciment, mélange à béton ensaché"
,1188733,,03-15-17,,"98,02",Isolant pour conduite
,,,03-15-17,,"37,71","Huile, graisse et lubrifiant"
,,,03-15-17,,"444,81","Matériel de fixation, clou, vis"
,1187655,VERMEER CANADA INC.,03-09-17,,"470,55",Accessoire et pièce de remplacement pour outil
,1189641,,03-20-17,,"734,42",Accessoire et pièce de remplacement pour outil
,1189894,,03-21-17,,"122,90",Équipement contre les chutes
,,,03-21-17,,"1 245,36",Accessoire et pièce de remplacement pour outil
"PLANTE, STÉPHANE",1145763,ENGLOBE CORP.,03-03-17,1095990,"1 837,28",Ingénieur - Contrôle qualité
,1191113,"GAUDREAULT, SONIA",03-27-17,,"2 300,62",Frais - Dépenses de fonction
,1185936,LEBLANC ILLUMINATIONS-CANADA INC.,03-01-17,,"4 277,25",Décoration temporaire
,1189685,LES SERVICES EXP INC.,03-21-17,,"7 972,42",Entrepreneur en électricité
,1186643,MORNEAU SHEPELL LTD.,03-03-17,,"15 000,00","Conseiller, programme d'aide aux employés"
,1188880,TRANSELEC / COMMON INC.,03-16-17,,"412,36",Signalisation routière
"REEVES, GENEVIÈVE",1186058,CENTRE DE SERVICES PARTAGES DU QC,03-28-17,,"52,88",Service - Téléphonie cellulaire
,,,03-01-17,,"1 259,85",Service - Téléphonie cellulaire
,1190120,FOURCHETTE & CIE CUISINE COMMUNAUTAIRE,03-22-17,,"325,00",Service - Traiteur
,1189518,MEDIAS TRANSCONTINENTAL S.E.N.C,03-20-17,,"4 199,50",Service - Placement média d'appel d'offres
,1191612,RESEAU QUEBECOIS DE VILLES ET VILLAGES EN SANTE,03-29-17,,"100,00",Frais - Adhésion et cotisation
,1187148,TELUS,03-07-17,,"51,71",Service - Téléphonie cellulaire
,1190640,,03-24-17,,"51,86",Service - Téléphonie cellulaire
"THERRIEN, MICHEL",1190038,ASS. DES COMMUNICATEURS MUNIC. DU QC,03-21-17,,"68,48","Frais - Inscription congrès, évènements"
,1189291,ATELIER 10 INC.,03-17-17,,"2 589,11",Service - Placement média
,1190873,BOUTY INC,03-27-17,1013950,"302,01",Chaise et fauteuil ergonomique
,1178291,CAFE 92 DEGRES INC.,03-03-17,,"157,48",Service - Traiteur
,1190870,CENTAURECOM INC.,03-27-17,,"433,70",Article promotionnel
,1186027,CENTRE DE SERVICES PARTAGES DU QC,03-01-17,,"314,96",Service - Téléphonie cellulaire
,1188991,COMMUNICATION MAIN LIBRE INC.,03-16-17,,"8,24","Article, accessoire et équipement de bureau"
,1185478,IMPRIME-EMPLOI,03-07-17,,"18,90",Livraison
,1186734,,03-06-17,,"3 352,96",Service - Impression
,1186649,KOPEL INC.,03-03-17,,"5 249,37",Service - Impression
,1188533,LAMCOM TECHNOLOGIES INC.,03-14-17,,"654,49","Service - Infographie, graphisme"
,1190729,LE DIPLOMATE AUDIOVISUEL,03-24-17,,"1 127,30",Location - Équipement d'éclairage et de sonorisation
,1187198,L'EMPREINTE IMPRIMERIE INC.,03-07-17,,"251,97","Service - Infographie, graphisme"
,1188919,MONTREAL STENCIL INC,03-16-17,,"42,95",Étampe
,1191290,,03-28-17,,"37,37",Article de bureau
,1190002,ROULEAUX DE PAPIER & RUBANS J.L. INC.,03-21-17,,"314,65","Papier, article de papeterie"
,1188996,SOCIETE CANADIENNE DES POSTES,03-16-17,,"2 964,02","Service - Postal, messagerie"
,1191449,,03-29-17,,"841,26","Service - Postal, messagerie"
,1188270,STINGRAY AFFAIRES INC.,03-13-17,,"1 385,83",Abonnement à Radio-Canada
,1175230,VIDEOTRON S.E.N.C,03-21-17,,"21,00",Service - Télédiffusion
"TROTTIER, PASCAL",1190737,CENTRE DE SERVICES PARTAGES DU QC,03-24-17,,"272,13",Mise à jour de Normes-Ouvrages routiers
,1187705,MIOVISION TECHNOLOGIES INC.,03-09-17,,"132,28",Ingénieur civil - Circulation et transport
,1187230,TRAFIC INNOVATION INC.,03-07-17,,"8 000,04",Signalisation routière
